date,act_symbol,period,cash_and_equivalents,receivables,notes_receivable,inventories,other_current_assets,total_current_assets,net_property_and_equipment,investments_and_advances,other_non_current_assets,deferred_charges,intangibles,deposits_and_other_assets,total_assets
2020-03-31,AA,Quarter,829000000,665000000,0,1509000000,330000000,3333000000,7160000000,1059000000,0,425000000,0,1674000000,13651000000
2020-06-30,AA,Quarter,965000000,507000000,0,1419000000,288000000,3179000000,7289000000,1037000000,0,482000000,0,1313000000,13300000000
2020-09-30,AA,Quarter,1736000000,611000000,0,1398000000,308000000,4053000000,7250000000,1034000000,0,540000000,0,1373000000,14250000000
2020-12-31,AA,Quarter,1607000000,556000000,0,1398000000,959000000,4520000000,7190000000,1051000000,0,655000000,0,1444000000,14860000000
2020-12-31,AA,Year,1607000000,556000000,0,1398000000,959000000,4520000000,7190000000,1051000000,0,655000000,0,1444000000,14860000000
2021-03-31,AA,Quarter,2544000000,677000000,0,1417000000,253000000,4891000000,6930000000,1055000000,0,653000000,0,1402000000,14931000000
2021-06-30,AA,Quarter,1652000000,744000000,0,1547000000,258000000,4201000000,6976000000,1113000000,0,729000000,0,1419000000,14438000000
2021-09-30,AA,Quarter,1452000000,861000000,0,1702000000,270000000,4285000000,6679000000,1146000000,0,698000000,0,1389000000,14197000000
2021-12-31,AA,Quarter,1814000000,884000000,0,1956000000,372000000,5026000000,6623000000,1199000000,0,506000000,0,1671000000,15025000000
2021-12-31,AA,Year,1814000000,884000000,0,1956000000,372000000,5026000000,6623000000,1199000000,0,506000000,0,1671000000,15025000000
2022-03-31,AA,Quarter,1554000000,1050000000,0,2495000000,499000000,5598000000,6824000000,1224000000,0,667000000,0,1675000000,15988000000
2022-06-30,AA,Quarter,1638000000,1022000000,0,2556000000,647000000,5863000000,6457000000,1238000000,0,445000000,0,1706000000,15709000000
2022-09-30,AA,Quarter,1432000000,868000000,0,2400000000,650000000,5350000000,6254000000,1223000000,0,417000000,0,1641000000,14885000000
2022-12-31,AA,Quarter,1363000000,909000000,0,2427000000,551000000,5250000000,6493000000,1143000000,0,308000000,0,1589000000,14783000000
2022-12-31,AA,Year,1363000000,909000000,0,2427000000,551000000,5250000000,6493000000,1122000000,0,296000000,0,1595000000,14756000000
2023-03-31,AA,Quarter,1138000000,852000000,0,2395000000,561000000,4946000000,6426000000,1051000000,0,340000000,0,1606000000,14369000000
2023-06-30,AA,Quarter,990000000,806000000,0,2400000000,474000000,4670000000,6445000000,1034000000,0,320000000,0,1659000000,14128000000
2023-09-30,AA,Quarter,926000000,796000000,0,2190000000,453000000,4365000000,6532000000,1004000000,0,395000000,0,1621000000,13917000000
2023-12-31,AA,Quarter,944000000,808000000,0,2158000000,495000000,4405000000,6785000000,979000000,0,333000000,0,1656000000,14158000000
2023-12-31,AA,Year,944000000,808000000,0,2158000000,495000000,4405000000,6785000000,979000000,0,333000000,0,1653000000,14155000000
2024-03-31,AA,Quarter,1358000000,1001000000,0,2048000000,474000000,4881000000,6577000000,969000000,0,295000000,0,1606000000,14328000000
2024-06-30,AA,Quarter,1396000000,1074000000,0,1975000000,458000000,4903000000,6503000000,989000000,0,311000000,0,1601000000,14307000000
2024-09-30,AA,Quarter,1313000000,1007000000,0,2096000000,450000000,4866000000,6721000000,982000000,0,329000000,0,1644000000,14542000000
2024-12-31,AA,Quarter,1138000000,1239000000,0,1998000000,539000000,4914000000,6389000000,980000000,0,284000000,0,1497000000,14064000000
2024-12-31,AA,Year,1138000000,1239000000,0,1998000000,539000000,4914000000,6389000000,980000000,0,284000000,0,1497000000,14064000000
2025-03-31,AA,Quarter,1202000000,1347000000,0,2182000000,476000000,5207000000,6497000000,1011000000,0,306000000,0,1553000000,14574000000
2025-06-30,AA,Quarter,1514000000,1204000000,0,2220000000,461000000,5399000000,6671000000,1016000000,0,317000000,0,1587000000,14990000000
2025-09-30,AA,Quarter,1485000000,1194000000,0,2191000000,414000000,5284000000,6629000000,1947000000,0,524000000,0,1585000000,15969000000
2020-03-31,AAPL,Quarter,94051000000,30677000000,0,3334000000,15691000000,143753000000,35889000000,98793000000,0,0,0,41965000000,320400000000
2020-06-30,AAPL,Quarter,93025000000,32075000000,0,3978000000,10987000000,140065000000,35687000000,100592000000,0,0,0,41000000000,317344000000
2020-09-30,AAPL,Quarter,90943000000,37445000000,0,4061000000,11264000000,143713000000,36766000000,100887000000,0,0,0,42522000000,323888000000
2020-09-30,AAPL,Year,90943000000,37445000000,0,4061000000,11264000000,143713000000,36766000000,100887000000,0,0,0,42522000000,323888000000
2020-12-31,AAPL,Quarter,76826000000,58620000000,0,4973000000,13687000000,154106000000,37933000000,118745000000,0,0,0,43270000000,354054000000
2021-03-31,AAPL,Quarter,69834000000,33036000000,0,5219000000,13376000000,121465000000,37815000000,134539000000,0,0,0,43339000000,337158000000
2021-06-30,AAPL,Quarter,61696000000,33908000000,0,5178000000,13641000000,114423000000,38615000000,131948000000,0,0,0,44854000000,329840000000
2021-09-30,AAPL,Quarter,62639000000,51506000000,0,6580000000,14111000000,134836000000,39440000000,127877000000,0,0,0,48849000000,351002000000
2021-09-30,AAPL,Year,62639000000,51506000000,0,6580000000,14111000000,134836000000,39440000000,127877000000,0,0,0,48849000000,351002000000
2021-12-31,AAPL,Quarter,63913000000,65253000000,0,5876000000,18112000000,153154000000,39245000000,138683000000,0,0,0,50109000000,381191000000
2022-03-31,AAPL,Quarter,51511000000,45400000000,0,5460000000,15809000000,118180000000,39304000000,141219000000,0,0,0,51959000000,350662000000
2022-06-30,AAPL,Quarter,48231000000,42242000000,0,5433000000,16386000000,112292000000,40335000000,131077000000,0,0,0,52605000000,336309000000
2022-09-30,AAPL,Quarter,48304000000,60932000000,0,4946000000,21223000000,135405000000,42117000000,120805000000,0,0,0,54428000000,352755000000
2022-09-30,AAPL,Year,48304000000,60932000000,0,4946000000,21223000000,135405000000,42117000000,120805000000,0,0,0,54428000000,352755000000
2022-12-31,AAPL,Quarter,51355000000,54180000000,0,6820000000,16422000000,128777000000,42951000000,114095000000,0,0,0,60924000000,346747000000
2023-03-31,AAPL,Quarter,55872000000,35899000000,0,7482000000,13660000000,112913000000,43398000000,110461000000,0,0,0,65388000000,332160000000
2023-06-30,AAPL,Quarter,62482000000,39186000000,0,7351000000,13640000000,122659000000,43550000000,104061000000,0,0,0,64768000000,335038000000
2023-09-30,AAPL,Quarter,61555000000,60985000000,0,6331000000,14695000000,143566000000,43715000000,100544000000,0,0,0,64758000000,352583000000
2023-09-30,AAPL,Year,61555000000,60985000000,0,6331000000,14695000000,143566000000,43715000000,100544000000,0,0,0,64758000000,352583000000
2023-12-31,AAPL,Quarter,73100000000,50102000000,0,6511000000,13979000000,143692000000,43666000000,99475000000,0,0,0,66681000000,353514000000
2024-03-31,AAPL,Quarter,67150000000,41150000000,0,6232000000,13884000000,128416000000,43546000000,95187000000,0,0,0,70262000000,337411000000
2024-06-30,AAPL,Quarter,61801000000,43172000000,0,6165000000,14297000000,125435000000,44502000000,91240000000,0,0,0,70435000000,331612000000
2024-09-30,AAPL,Quarter,65171000000,66243000000,0,7286000000,14287000000,152987000000,45680000000,91479000000,0,0,0,74834000000,364980000000
2024-09-30,AAPL,Year,65171000000,66243000000,0,7286000000,14287000000,152987000000,45680000000,91479000000,0,0,0,74834000000,364980000000
2024-12-31,AAPL,Quarter,53775000000,59306000000,0,6911000000,13248000000,133240000000,46069000000,87593000000,0,0,0,77183000000,344085000000
2025-03-31,AAPL,Quarter,48498000000,49798000000,0,6269000000,14109000000,118674000000,46876000000,84424000000,0,0,0,81259000000,331233000000
2025-06-30,AAPL,Quarter,55372000000,46835000000,0,5925000000,14359000000,122491000000,48508000000,77614000000,0,0,0,82882000000,331495000000
2025-09-30,AAPL,Quarter,54697000000,72957000000,0,5718000000,14585000000,147957000000,49834000000,77723000000,0,0,0,83727000000,359241000000
2025-09-30,AAPL,Year,54697000000,72957000000,0,5718000000,14585000000,147957000000,49834000000,77723000000,0,0,0,83727000000,359241000000
2020-03-31,ABBV,Quarter,41142000000,6362000000,0,1844000000,2410000000,51758000000,2961000000,78000000,0,0,33764000000,2638000000,91199000000
2020-06-30,ABBV,Quarter,6040000000,8354000000,0,4059000000,2803000000,21256000000,4908000000,225000000,0,0,119132000000,4009000000,149530000000
2020-09-30,ABBV,Quarter,7950000000,8416000000,0,3474000000,3169000000,23009000000,4986000000,246000000,0,0,117444000000,3936000000,149621000000
2020-12-31,ABBV,Quarter,8479000000,8822000000,0,3310000000,3562000000,24173000000,5248000000,293000000,0,0,116000000000,4851000000,150565000000
2020-12-31,ABBV,Year,8479000000,8822000000,0,3310000000,3562000000,24173000000,5248000000,293000000,0,0,116000000000,4851000000,150565000000
2021-03-31,ABBV,Quarter,9777000000,9588000000,0,3272000000,3932000000,26569000000,5193000000,305000000,0,0,113642000000,4792000000,150501000000
2021-06-30,ABBV,Quarter,8600000000,9914000000,0,3386000000,4099000000,25999000000,5161000000,266000000,0,0,111738000000,4808000000,147972000000
2021-09-30,ABBV,Quarter,12249000000,9281000000,0,3094000000,4333000000,28957000000,5130000000,272000000,0,0,109752000000,4747000000,148858000000
2021-12-31,ABBV,Quarter,9830000000,9977000000,0,3128000000,4993000000,27928000000,5110000000,277000000,0,0,108330000000,4884000000,146529000000
2021-12-31,ABBV,Year,9830000000,9977000000,0,3128000000,4993000000,27928000000,5110000000,277000000,0,0,108330000000,4884000000,146529000000
2022-03-31,ABBV,Quarter,7572000000,10733000000,0,3483000000,4721000000,26509000000,5075000000,260000000,0,0,106284000000,5083000000,143211000000
2022-06-30,ABBV,Quarter,9961000000,11237000000,0,3396000000,4506000000,29100000000,4958000000,244000000,0,0,103851000000,5033000000,143186000000
2022-09-30,ABBV,Quarter,11879000000,10743000000,0,3172000000,4570000000,30364000000,4893000000,235000000,0,0,100451000000,5382000000,141325000000
2022-12-31,ABBV,Quarter,9229000000,11254000000,0,3579000000,4401000000,28463000000,4935000000,241000000,0,0,99595000000,5571000000,138805000000
2022-12-31,ABBV,Year,9229000000,11254000000,0,3579000000,4401000000,28463000000,4935000000,241000000,0,0,99595000000,5571000000,138805000000
2023-03-31,ABBV,Quarter,6722000000,11473000000,0,3833000000,4460000000,26488000000,4931000000,257000000,0,0,97068000000,5800000000,134544000000
2023-06-30,ABBV,Quarter,8766000000,11491000000,0,4055000000,4540000000,28852000000,4943000000,288000000,0,0,95086000000,6198000000,135367000000
2023-09-30,ABBV,Quarter,13290000000,11412000000,0,3981000000,4541000000,33224000000,4934000000,275000000,0,0,90694000000,7094000000,136221000000
2023-12-31,ABBV,Quarter,12816000000,11155000000,0,4099000000,4932000000,33002000000,4989000000,304000000,0,0,87903000000,8513000000,134711000000
2023-12-31,ABBV,Year,12816000000,11155000000,0,4099000000,4932000000,33002000000,4989000000,304000000,0,0,87903000000,8513000000,134711000000
2024-03-31,ABBV,Quarter,18069000000,11949000000,0,4245000000,4608000000,38871000000,4980000000,305000000,0,0,95651000000,9067000000,148874000000
2024-06-30,ABBV,Quarter,13157000000,11724000000,0,4218000000,4717000000,33816000000,5023000000,272000000,0,0,93629000000,9197000000,141937000000
2024-09-30,ABBV,Quarter,7285000000,11472000000,0,4450000000,4578000000,27785000000,5141000000,267000000,0,0,101941000000,8288000000,143422000000
2024-12-31,ABBV,Quarter,5555000000,10919000000,0,4181000000,4927000000,25582000000,5134000000,279000000,0,0,95024000000,9142000000,135161000000
2024-12-31,ABBV,Year,5555000000,10919000000,0,4181000000,4927000000,25582000000,5134000000,279000000,0,0,95024000000,9142000000,135161000000
2025-03-31,ABBV,Quarter,5176000000,12477000000,0,4526000000,5496000000,27675000000,5237000000,287000000,0,0,93774000000,9192000000,136165000000
2025-06-30,ABBV,Quarter,6467000000,12637000000,0,4960000000,5197000000,29261000000,5283000000,310000000,0,0,92669000000,9659000000,137182000000
2025-09-30,ABBV,Quarter,5671000000,12769000000,0,4938000000,5161000000,28539000000,5483000000,291000000,0,0,89941000000,9644000000,133898000000
2020-12-31,ABNB,Quarter,6425000000,2181000000,0,0,310000000,8916000000,270000000,0,0,0,732000000,189000000,10492000000
2020-12-31,ABNB,Year,6425000000,2181000000,0,0,310000000,8916000000,270000000,0,0,0,732000000,189000000,10492000000
2021-03-31,ABNB,Quarter,6589000000,4015000000,0,0,323000000,10927000000,211000000,0,0,0,723000000,177000000,12339000000
2021-06-30,ABNB,Quarter,7443000000,6302000000,0,0,352000000,14096000000,193000000,0,0,0,718000000,188000000,15485000000
2021-09-30,ABNB,Quarter,7935000000,3940000000,0,0,345000000,12221000000,174000000,0,0,0,712000000,196000000,13582000000
2021-12-31,ABNB,Quarter,8337000000,3715000000,0,0,334000000,12386000000,157000000,0,0,0,705000000,189000000,13708000000
2021-12-31,ABNB,Year,8337000000,3715000000,0,0,334000000,12386000000,157000000,0,0,0,705000000,189000000,13708000000
2022-03-31,ABNB,Quarter,9337000000,6105000000,0,0,320000000,15761000000,143000000,0,0,0,699000000,203000000,17068000000
2022-06-30,ABNB,Quarter,9910000000,7466000000,0,0,450000000,17826000000,118000000,0,0,0,692000000,259000000,19059000000
2022-09-30,ABNB,Quarter,9629000000,4805000000,0,0,432000000,14867000000,118000000,0,0,0,685000000,253000000,16077000000
2022-12-31,ABNB,Quarter,9622000000,4783000000,0,0,456000000,14861000000,121000000,0,0,0,684000000,234000000,16038000000
2022-12-31,ABNB,Year,9622000000,4783000000,0,0,456000000,14861000000,121000000,0,0,0,684000000,234000000,16038000000
2023-03-31,ABNB,Quarter,10594000000,7760000000,0,0,515000000,18869000000,122000000,0,0,0,1364000000,207000000,20018000000
2023-06-30,ABNB,Quarter,10340000000,9144000000,0,0,568000000,20052000000,132000000,0,0,0,679000000,194000000,21188000000
2023-09-30,ABNB,Quarter,10962000000,5986000000,0,0,575000000,17523000000,147000000,0,0,2775000000,676000000,195000000,21439000000
2023-12-31,ABNB,Quarter,10071000000,5869000000,0,0,569000000,16509000000,0,0,0,2881000000,792000000,463000000,20645000000
2023-12-31,ABNB,Year,10071000000,5869000000,0,0,569000000,16509000000,0,0,0,2881000000,792000000,463000000,20645000000
2024-03-31,ABNB,Quarter,11093000000,8737000000,0,0,563000000,20393000000,0,0,0,2886000000,786000000,472000000,24537000000
2024-06-30,ABNB,Quarter,11251000000,10342000000,0,0,659000000,22252000000,0,0,0,2825000000,783000000,460000000,26320000000
2024-09-30,ABNB,Quarter,11253000000,6573000000,0,0,493000000,18319000000,0,0,0,2601000000,783000000,469000000,22172000000
2024-12-31,ABNB,Quarter,10611000000,5931000000,0,0,638000000,17180000000,0,0,0,2439000000,777000000,563000000,20959000000
2024-12-31,ABNB,Year,10611000000,5931000000,0,0,638000000,17180000000,0,0,0,2439000000,777000000,563000000,20959000000
2025-03-31,ABNB,Quarter,11492000000,9175000000,0,0,628000000,21295000000,0,0,0,2459000000,775000000,527000000,25056000000
2025-06-30,ABNB,Quarter,11356000000,11067000000,0,0,757000000,23180000000,0,0,0,2428000000,776000000,608000000,26992000000
2025-09-30,ABNB,Quarter,11684000000,7209000000,0,0,645000000,19538000000,0,0,0,2146000000,773000000,607000000,23064000000
2020-02-29,ADBE,Quarter,4171000000,1389000000,0,0,895000000,6455000000,1340000000,0,0,0,12317000000,1102000000,21214000000
2020-05-31,ADBE,Quarter,4351000000,1366000000,0,0,932000000,6649000000,1387000000,0,0,231000000,12230000000,617000000,21603000000
