act_symbol,date,period,notes_payable,accounts_payable,current_portion_long_term_debt,current_portion_capital_leases,accrued_expenses,income_taxes_payable,other_current_liabilities,total_current_liabilities,mortgages,deferred_taxes_or_income,convertible_debt,long_term_debt,non_current_capital_leases,other_non_current_liabilities,minority_interest,total_liabilities
AA,2020-03-31,Quarter,0,1276000000,1000000,0,353000000,78000000,515000000,2223000000,0,0,0,1801000000,0,3816000000,0,7840000000
AA,2020-06-30,Quarter,0,1253000000,1000000,0,393000000,96000000,498000000,2241000000,0,0,0,1800000000,0,3935000000,0,7976000000
AA,2020-09-30,Quarter,0,1360000000,2000000,0,408000000,57000000,476000000,2303000000,0,0,0,2538000000,0,4390000000,0,9231000000
AA,2020-12-31,Quarter,0,1403000000,2000000,0,395000000,91000000,870000000,2761000000,0,0,0,2463000000,0,4620000000,0,9844000000
AA,2020-12-31,Year,0,1403000000,2000000,0,395000000,91000000,870000000,2761000000,0,0,0,2463000000,0,4620000000,0,9844000000
AA,2021-03-31,Quarter,0,1284000000,745000000,0,365000000,92000000,735000000,3221000000,0,0,0,2214000000,0,4623000000,0,10058000000
AA,2021-06-30,Quarter,0,1392000000,1000000,0,378000000,126000000,774000000,2671000000,0,0,0,2216000000,0,4133000000,0,9020000000
AA,2021-09-30,Quarter,0,1482000000,1000000,0,378000000,218000000,850000000,2929000000,0,0,0,1724000000,0,4083000000,0,8736000000
AA,2021-12-31,Quarter,0,1674000000,1000000,0,383000000,374000000,791000000,3223000000,0,0,0,1726000000,0,3792000000,0,8741000000
AA,2021-12-31,Year,0,1674000000,1000000,0,383000000,374000000,791000000,3223000000,0,0,0,1726000000,0,3792000000,0,8741000000
AA,2022-03-31,Quarter,0,1645000000,1000000,0,357000000,358000000,1105000000,3466000000,0,0,0,1727000000,0,4538000000,0,9731000000
AA,2022-06-30,Quarter,0,1752000000,1000000,0,341000000,343000000,799000000,3236000000,0,0,0,1725000000,0,3456000000,0,8417000000
AA,2022-09-30,Quarter,0,1590000000,1000000,0,329000000,301000000,733000000,2954000000,0,0,0,1725000000,0,3314000000,0,7993000000
AA,2022-12-31,Quarter,0,1757000000,1000000,0,335000000,230000000,681000000,3004000000,0,0,0,1806000000,0,3401000000,0,8211000000
AA,2022-12-31,Year,0,1757000000,1000000,0,335000000,230000000,681000000,3004000000,0,0,0,1806000000,0,3357000000,0,8167000000
AA,2023-03-31,Quarter,0,1489000000,1000000,0,332000000,207000000,756000000,2785000000,0,0,0,1806000000,0,3482000000,0,8073000000
AA,2023-06-30,Quarter,0,1491000000,1000000,0,340000000,67000000,697000000,2596000000,0,0,0,1808000000,0,3266000000,0,7670000000
AA,2023-09-30,Quarter,0,1472000000,1000000,0,337000000,110000000,704000000,2624000000,0,0,0,1809000000,0,3392000000,0,7825000000
AA,2023-12-31,Quarter,0,1714000000,79000000,0,357000000,88000000,792000000,3030000000,0,0,0,1732000000,0,3550000000,0,8312000000
AA,2023-12-31,Year,0,1714000000,79000000,0,357000000,88000000,792000000,3030000000,0,0,0,1732000000,0,3548000000,0,8310000000
AA,2024-03-31,Quarter,0,1586000000,79000000,0,331000000,94000000,951000000,3041000000,0,0,0,2469000000,0,3284000000,0,8794000000
AA,2024-06-30,Quarter,0,1619000000,79000000,0,358000000,119000000,991000000,3166000000,0,0,0,2469000000,0,3256000000,0,8891000000
AA,2024-09-30,Quarter,0,1544000000,464000000,0,363000000,109000000,979000000,3459000000,0,0,0,2469000000,0,3364000000,0,9292000000
AA,2024-12-31,Quarter,0,1805000000,75000000,0,362000000,102000000,1051000000,3395000000,0,0,0,2470000000,0,3042000000,0,8907000000
AA,2024-12-31,Year,0,1805000000,75000000,0,362000000,102000000,1051000000,3395000000,0,0,0,2470000000,0,3042000000,0,8907000000
