date,act_symbol,period,period_end_date,consensus,recent,count,high,low,year_ago
2017-10-26,A,Current Quarter,2017-10-31,0.63,0.61,9,0.66,0.61,0.59
2017-10-26,AA,Current Quarter,2017-12-31,1.18,,6,1.49,0.84,0.14
2017-10-26,AAAP,Current Quarter,2017-09-30,-0.18,-0.23,3,-0.13,-0.23,-0.18
2017-10-26,AAC,Current Quarter,2017-09-30,0.03,0.03,2,0.03,0.03,0.19
2017-10-26,AAL,Current Quarter,2017-09-30,1.39,1.32,10,1.44,1.32,2.80
2017-10-26,AAN,Current Quarter,2017-09-30,0.54,0.53,8,0.58,0.51,0.50
2017-10-26,AAOI,Current Quarter,2017-09-30,1.01,1.04,7,1.06,0.83,0.38
2017-10-26,AAON,Current Quarter,2017-09-30,0.30,0.30,1,0.30,0.30,0.29
2017-10-26,AAP,Current Quarter,2017-09-30,1.23,1.20,11,1.51,1.14,1.73
2017-10-26,AAPL,Current Quarter,2017-09-30,1.86,999.00,9,1.93,1.80,1.67
2017-10-26,AAT,Current Quarter,2017-09-30,0.53,0.53,3,0.54,0.53,0.19
2017-10-26,AAV,Current Quarter,2017-09-30,0.02,-0.01,2,0.04,-0.01,0.03
2017-10-26,AAWW,Current Quarter,2017-09-30,1.12,1.12,3,1.15,1.10,1.09
2017-10-26,AAXN,Current Quarter,2017-09-30,0.05,0.06,3,0.06,0.05,0.07
2017-10-26,AB,Current Quarter,2017-12-31,0.63,0.52,2,0.66,0.60,0.67
2017-10-26,ABAX,Current Quarter,2017-12-31,0.24,0.29,4,0.28,0.20,0.30
2017-10-26,ABB,Current Quarter,2017-09-30,0.30,,2,0.33,0.27,0.32
2017-10-26,ABBV,Current Quarter,2017-09-30,1.39,1.38,9,1.42,1.37,1.21
2017-10-26,ABC,Current Quarter,2017-09-30,1.32,1.33,8,1.34,1.30,1.30
2017-10-26,ABCB,Current Quarter,2017-12-31,0.63,0.65,3,0.65,0.62,0.62
2017-10-26,ABCO,Current Quarter,2017-09-30,0.48,0.50,11,0.54,0.42,0.28
