act_symbol,date,period,sales,cost_of_goods,gross_profit,selling_administrative_depreciation_amortization_expenses,income_after_depreciation_and_amortization,non_operating_income,interest_expense,pretax_income,income_taxes,minority_interest,investment_gains,other_income,income_from_continuing_operations,extras_and_discontinued_operations,net_income,income_before_depreciation_and_amortization,depreciation_and_amortization,average_shares,diluted_eps_before_non_recurring_items,diluted_net_eps
AA,2020-03-31,Quarter,2381000000,2025000000,356000000,239000000,117000000,132000000,30000000,219000000,80000000,59000000,0,0,139000000,0,80000000,,,186610000,-0.23,0.43
AA,2020-06-30,Quarter,2148000000,1932000000,216000000,238000000,-22000000,-51000000,32000000,-105000000,45000000,47000000,0,0,-150000000,0,-197000000,,,185920000,-0.02,-1.06
AA,2020-09-30,Quarter,2365000000,2038000000,327000000,219000000,108000000,-45000000,41000000,22000000,42000000,29000000,0,0,-20000000,0,-49000000,,,185920000,-1.17,-0.26
AA,2020-12-31,Quarter,2392000000,1974000000,418000000,294000000,124000000,-44000000,43000000,37000000,20000000,21000000,0,0,17000000,0,-4000000,,,185950000,0.26,-0.02
AA,2021-03-31,Quarter,2870000000,2292000000,578000000,248000000,330000000,24000000,42000000,312000000,93000000,44000000,0,0,219000000,0,175000000,,,188820000,0.79,0.93
AA,2021-06-30,Quarter,2833000000,2156000000,677000000,254000000,423000000,105000000,67000000,461000000,111000000,41000000,0,0,350000000,0,309000000,,,190200000,1.49,1.63
AA,2021-09-30,Quarter,3109000000,2322000000,787000000,250000000,537000000,18000000,58000000,497000000,127000000,33000000,0,0,370000000,0,337000000,,,190820000,2.05,1.76
AA,2021-12-31,Quarter,3340000000,2383000000,957000000,1298000000,-341000000,298000000,28000000,-71000000,298000000,23000000,0,0,-369000000,0,-392000000,,,185660000,2.50,-2.06
AA,2022-03-31,Quarter,3293000000,2181000000,1112000000,338000000,774000000,14000000,25000000,763000000,210000000,84000000,0,0,553000000,0,469000000,,,188540000,3.06,2.49
AA,2022-06-30,Quarter,3644000000,2767000000,877000000,145000000,732000000,206000000,30000000,908000000,234000000,125000000,0,0,674000000,0,549000000,,,186070000,2.67,2.95
